sello,sello,ratio,ruta
no_seal,"Viceconsulado Imp de Rusia",0.0935251798561,C:/Users/usuario/Desktop/Document/1823-L119.M3/117
no_seal,"Viceconsulado Imp de Rusia",0.167865707434,C:/Users/usuario/Desktop/Document/1849-L119.M6/92
no_seal,"Viceconsulado Imp de Rusia",0.0719424460432,C:/Users/usuario/Desktop/Document/1860-L55.M5/141
no_seal,"Viceconsulado Imp de Rusia",0.0352831940576,C:/Users/usuario/Desktop/Document/1860-L55.M5/142
no_seal,"Viceconsulado Imp de Rusia",0.0844939647168,C:/Users/usuario/Desktop/Document/1862-L119.M13/109
no_seal,"Viceconsulado Imp de Rusia",0.0887290167866,C:/Users/usuario/Desktop/Document/1863-L119.M13/107
"Escudo 4 regiones","Escudo 4 regiones",0.931937172775,C:/Users/usuario/Desktop/Document/1870-L123.M9/93
"O Doble C","Moneda O doble C",0.996411483254,C:/Users/usuario/Desktop/Document/1871-L123.M10/94
"O Doble C","Viceconsulado Imp de Rusia",0.135167464115,C:/Users/usuario/Desktop/Document/1873-L123.M11/139
no_seal,"Viceconsulado Imp de Rusia",0.0287769784173,C:/Users/usuario/Desktop/Document/1873-L127.M1/140
no_seal,"Viceconsulado Imp de Rusia",0.310151878497,C:/Users/usuario/Desktop/Document/1878-L116.M16/143
"Corona Horizontal","Corona Horizontal",0.286365016702,C:/Users/usuario/Desktop/Document/1880-L123.M15/96
no_seal,"Viceconsulado Imp de Rusia",0.0991207034373,C:/Users/usuario/Desktop/Document/1880-L123.M15/97
"O Doble C","Viceconsulado Imp de Rusia",0.126794258373,C:/Users/usuario/Desktop/Document/1882-L123.M17/10
"O Doble C","Viceconsulado Imp de Rusia",0.155075939249,C:/Users/usuario/Desktop/Document/1882-L123.M17/12
"O Doble C","Viceconsulado Imp de Rusia",0.111842105263,C:/Users/usuario/Desktop/Document/1882-L123.M17/14
"O Doble C","Viceconsulado Imp de Rusia",0.0815789473684,C:/Users/usuario/Desktop/Document/1882-L123.M17/15
"O Doble C","Viceconsulado Imp de Rusia",0.0815789473684,C:/Users/usuario/Desktop/Document/1882-L123.M17/17
"León Unicornio Postal","Leon Unicornio Postal",0.660343270099,C:/Users/usuario/Desktop/Document/1882-L123.M17/19
"O Doble C","Viceconsulado Imp de Rusia",0.0882079851439,C:/Users/usuario/Desktop/Document/1882-L123.M17/20
"León Unicornio Postal","Leon Unicornio Postal",0.217705510388,C:/Users/usuario/Desktop/Document/1882-L123.M17/23
"O Doble C","Viceconsulado Imp de Rusia",0.0769230769231,C:/Users/usuario/Desktop/Document/1882-L123.M17/37
"O Doble C","Viceconsulado Imp de Rusia",0.106459330144,C:/Users/usuario/Desktop/Document/1882-L123.M17/9
"TO Marrón",AOC,0.735140771637,C:/Users/usuario/Desktop/Document/1883-L119.M29/11
no_seal,"Viceconsulado Imp de Rusia",0.0269266480966,C:/Users/usuario/Desktop/Document/1883-L119.M29/116
no_seal,"Viceconsulado Imp de Rusia",0.0232126276695,C:/Users/usuario/Desktop/Document/1883-L119.M29/126
no_seal,"Viceconsulado Imp de Rusia",0.0445682451253,C:/Users/usuario/Desktop/Document/1883-L119.M29/127
no_seal,"Viceconsulado Imp de Rusia",0.0472103004292,C:/Users/usuario/Desktop/Document/1883-L119.M29/129
"TO Marrón",AOC,0.735140771637,C:/Users/usuario/Desktop/Document/1883-L119.M29/13
no_seal,"Viceconsulado Imp de Rusia",0.0455635491607,C:/Users/usuario/Desktop/Document/1883-L119.M29/130
no_seal,"Viceconsulado Imp de Rusia",0.0503597122302,C:/Users/usuario/Desktop/Document/1883-L119.M29/131
